"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"952.136.64","0","0","0","0","1","0","0","20191118","20191122"
"952.136.68","1","0","0","0","1","0","0","20191118","20191122"
"952.136.72","0","1","0","0","1","0","0","20191118","20191122"
"952.136.76","1","1","0","0","1","0","0","20191118","20191122"
"952.136.8","0","1","0","0","0","0","0","20191118","20191122"
"952.136.80","0","0","1","0","1","0","0","20191118","20191122"
"952.136.84","1","0","1","0","1","0","0","20191118","20191122"
"952.136.88","0","1","1","0","1","0","0","20191118","20191122"
"952.136.92","1","1","1","0","1","0","0","20191118","20191122"
"952.136.96","0","0","0","1","1","0","0","20191118","20191122"
"1197.103.104","0","1","0","1","1","0","0","20191123","20191206"
"1197.103.108","1","1","0","1","1","0","0","20191123","20191206"
"1197.103.112","0","0","1","1","1","0","0","20191123","20191206"
"1197.103.12","1","1","0","0","0","0","0","20191123","20191206"
"1197.103.120","0","1","1","1","1","0","0","20191123","20191206"
"1197.103.124","1","1","1","1","1","0","0","20191123","20191206"
"1197.103.128","0","0","0","0","0","1","0","20191123","20191206"
"1197.103.130","0","0","0","0","0","1","1","20191123","20191206"
"1197.103.16","0","0","1","0","0","0","0","20191123","20191206"
"1197.103.2","0","0","0","0","0","0","1","20191123","20191206"
"1197.103.32","0","0","0","1","0","0","0","20191123","20191206"
"1197.103.36","1","0","0","1","0","0","0","20191123","20191206"
"1197.103.4","1","0","0","0","0","0","0","20191123","20191206"
"1197.103.44","1","1","0","1","0","0","0","20191123","20191206"
"1197.103.48","0","0","1","1","0","0","0","20191123","20191206"
"1197.103.52","1","0","1","1","0","0","0","20191123","20191206"
"1197.103.56","0","1","1","1","0","0","0","20191123","20191206"
"1197.103.60","1","1","1","1","0","0","0","20191123","20191206"
"1197.103.64","0","0","0","0","1","0","0","20191123","20191206"
"1197.103.72","0","1","0","0","1","0","0","20191123","20191206"
"1197.103.8","0","1","0","0","0","0","0","20191123","20191206"
"1197.103.88","0","1","1","0","1","0","0","20191123","20191206"
"1197.103.92","1","1","1","0","1","0","0","20191123","20191206"
