"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.7974797","151.18092","1","0.0"
"SMNW.OUTBOUND","-33.7965822","151.1809048","2","99.56"
"SMNW.OUTBOUND","-33.7957492","151.1808893","3","191.97"
"SMNW.OUTBOUND","-33.7954608","151.180884","4","223.96"
"SMNW.OUTBOUND","-33.7948515","151.1808726","5","291.55"
"SMNW.OUTBOUND","-33.7941006","151.1808587","6","374.85"
"SMNW.OUTBOUND","-33.7937892","151.1808529","7","409.39"
"SMNW.OUTBOUND","-33.7932268","151.1808424","8","471.78"
"SMNW.OUTBOUND","-33.7930345","151.1808377","9","493.12"
"SMNW.OUTBOUND","-33.792703","151.1808328","10","529.89"
"SMNW.OUTBOUND","-33.7922997","151.1808358","11","574.62"
"SMNW.OUTBOUND","-33.7904504","151.1807936","12","779.78"
"SMNW.OUTBOUND","-33.7901767","151.1807878","13","810.14"
"SMNW.OUTBOUND","-33.7900186","151.1807878","14","827.68"
"SMNW.OUTBOUND","-33.7898524","151.1807799","15","846.13"
"SMNW.OUTBOUND","-33.7896903","151.1807652","16","864.16"
"SMNW.OUTBOUND","-33.7894883","151.1807436","17","886.66"
"SMNW.OUTBOUND","-33.7891457","151.1806324","18","926.03"
"SMNW.OUTBOUND","-33.7888024","151.1804956","19","966.16"
"SMNW.OUTBOUND","-33.7884346","151.1803132","20","1010.31"
"SMNW.OUTBOUND","-33.7880422","151.1801523","21","1056.32"
"SMNW.OUTBOUND","-33.7873958","151.1800155","22","1129.13"
"SMNW.OUTBOUND","-33.7869878","151.179927","23","1175.12"
"SMNW.OUTBOUND","-33.786027","151.1797339","24","1283.18"
"SMNW.OUTBOUND","-33.7851643","151.1796212","25","1379.43"
"SMNW.OUTBOUND","-33.7846538","151.1795381","26","1436.58"
"SMNW.OUTBOUND","-33.7840452","151.179412","27","1505.09"
"SMNW.OUTBOUND","-33.7836506","151.1792403","28","1551.65"
"SMNW.OUTBOUND","-33.7832355","151.179016","29","1602.17"
"SMNW.OUTBOUND","-33.7823487","151.1783767","30","1716.98"
"SMNW.OUTBOUND","-33.7819363","151.1780253","31","1773.12"
"SMNW.OUTBOUND","-33.7815441","151.1776395","32","1829.41"
"SMNW.OUTBOUND","-33.7809576","151.1769766","33","1918.86"
"SMNW.OUTBOUND","-33.7805251","151.1763865","34","1991.59"
"SMNW.OUTBOUND","-33.7802553","151.1759678","35","2040.57"
"SMNW.OUTBOUND","-33.7799588","151.175445","36","2099.11"
"SMNW.OUTBOUND","-33.7796846","151.1748683","37","2160.57"
"SMNW.OUTBOUND","-33.7794483","151.1742702","38","2221.86"
"SMNW.OUTBOUND","-33.7792933","151.1737811","39","2270.31"
"SMNW.OUTBOUND","-33.779105","151.1729532","40","2349.79"
"SMNW.OUTBOUND","-33.7790225","151.1725348","41","2389.61"
"SMNW.OUTBOUND","-33.778986","151.1721627","42","2424.31"
"SMNW.OUTBOUND","-33.7789355","151.1714083","43","2494.41"
"SMNW.OUTBOUND","-33.7789438","151.1706618","44","2563.56"
"SMNW.OUTBOUND","-33.7790046","151.1700645","45","2619.29"
"SMNW.OUTBOUND","-33.779075","151.1696825","46","2655.53"
"SMNW.OUTBOUND","-33.7792989","151.1686671","47","2752.8"
"SMNW.OUTBOUND","-33.779576","151.1678694","48","2832.82"
"SMNW.OUTBOUND","-33.7799365","151.1670658","49","2917.32"
"SMNW.OUTBOUND","-33.7803118","151.166404","50","2991.41"
"SMNW.OUTBOUND","-33.7808929","151.1655664","51","3092.27"
"SMNW.OUTBOUND","-33.7816426","151.1647395","52","3205.32"
"SMNW.OUTBOUND","-33.7819786","151.1644024","53","3253.94"
"SMNW.OUTBOUND","-33.7827359","151.1638066","54","3354.45"
"SMNW.OUTBOUND","-33.7833029","151.1634394","55","3425.94"
"SMNW.OUTBOUND","-33.7838853","151.1630979","56","3497.87"
"SMNW.OUTBOUND","-33.7856162","151.1625307","57","3696.92"
"SMNW.OUTBOUND","-33.787294","151.1618023","58","3894.87"
"SMNW.OUTBOUND","-33.7887996","151.1607054","59","4090.34"
"SMNW.OUTBOUND","-33.7895625","151.1598453","60","4206.55"
"SMNW.OUTBOUND","-33.790316","151.1589843","61","4322.06"
"SMNW.OUTBOUND","-33.7917982","151.157288","62","4549.46"
"SMNW.OUTBOUND","-33.792657","151.1561438","63","4691.94"
"SMNW.OUTBOUND","-33.793008","151.1556535","64","4751.75"
"SMNW.OUTBOUND","-33.7935727","151.1547759","65","4854.36"
"SMNW.OUTBOUND","-33.7941345","151.1538954","66","4956.99"
"SMNW.OUTBOUND","-33.7947897","151.152657","67","5092.76"
"SMNW.OUTBOUND","-33.7951397","151.1519784","68","5166.63"
"SMNW.OUTBOUND","-33.7954282","151.1513171","69","5235.72"
"SMNW.OUTBOUND","-33.7960047","151.1494059","70","5423.91"
"SMNW.OUTBOUND","-33.7961539","151.1482313","71","5533.93"
"SMNW.OUTBOUND","-33.7962184","151.1474406","72","5607.5"
"SMNW.OUTBOUND","-33.7961717","151.146744","73","5672.22"
"SMNW.OUTBOUND","-33.7960954","151.1461921","74","5724.02"
"SMNW.OUTBOUND","-33.7960313","151.1457503","75","5765.55"
"SMNW.OUTBOUND","-33.7959599","151.1453104","76","5807.05"
"SMNW.OUTBOUND","-33.7949941","151.1407135","77","6246.02"
"SMNW.OUTBOUND","-33.7945922","151.1389847","78","6412.21"
"SMNW.OUTBOUND","-33.793958","151.1367585","79","6630.04"
"SMNW.OUTBOUND","-33.7936481","151.1358367","80","6722.07"
"SMNW.OUTBOUND","-33.7933554","151.1353522","81","6777.45"
"SMNW.OUTBOUND","-33.7929251","151.134764","82","6849.87"
"SMNW.OUTBOUND","-33.7924987","151.1342493","83","6917.02"
"SMNW.OUTBOUND","-33.792042","151.1338027","84","6982.42"
"SMNW.OUTBOUND","-33.7917259","151.1335221","85","7026.06"
"SMNW.OUTBOUND","-33.7914071","151.1332619","86","7068.85"
"SMNW.OUTBOUND","-33.7910532","151.1330109","87","7114.47"
"SMNW.OUTBOUND","-33.7901643","151.1326064","88","7219.94"
"SMNW.OUTBOUND","-33.7887696","151.1319389","89","7386.54"
"SMNW.OUTBOUND","-33.7883476","151.1317384","90","7436.89"
"SMNW.OUTBOUND","-33.7879659","151.1315344","91","7483.25"
"SMNW.OUTBOUND","-33.7876499","151.1313066","92","7524.16"
"SMNW.OUTBOUND","-33.7871824","151.1309148","93","7587.45"
"SMNW.OUTBOUND","-33.7868496","151.130569","94","7636.32"
"SMNW.OUTBOUND","-33.7865242","151.1301828","95","7687.14"
"SMNW.OUTBOUND","-33.7835307","151.1261521","96","8186.75"
"SMNW.OUTBOUND","-33.7818939","151.1239573","97","8459.3"
"SMNW.OUTBOUND","-33.7802709","151.1217874","98","8729.11"
"SMNW.OUTBOUND","-33.7792053","151.1203551","99","8906.79"
"SMNW.OUTBOUND","-33.7787037","151.1196551","100","8992.22"
"SMNW.OUTBOUND","-33.7781787","151.1188734","101","9085.14"
"SMNW.OUTBOUND","-33.7775042","151.1179492","102","9198.83"
"SMNW.OUTBOUND","-33.7763532","151.1163772","103","9392.48"
"SMNW.OUTBOUND","-33.7760851","151.1159006","104","9445.71"
"SMNW.OUTBOUND","-33.7758684","151.1155694","105","9484.68"
"SMNW.OUTBOUND","-33.7757266","151.1152973","106","9514.39"
"SMNW.OUTBOUND","-33.7755579","151.1149558","107","9551.14"
"SMNW.OUTBOUND","-33.7754404","151.1146596","108","9581.51"
"SMNW.OUTBOUND","-33.7752622","151.1142323","109","9625.76"
"SMNW.OUTBOUND","-33.7750991","151.1138081","110","9669.01"
"SMNW.OUTBOUND","-33.7749536","151.1133392","111","9715.35"
"SMNW.OUTBOUND","-33.7748288","151.1128369","112","9763.89"
"SMNW.OUTBOUND","-33.7747316","151.1123343","113","9811.68"
"SMNW.OUTBOUND","-33.7746059","151.1113778","114","9901.37"
"SMNW.OUTBOUND","-33.7745785","151.1108032","115","9954.68"
"SMNW.OUTBOUND","-33.7745866","151.1099848","116","10030.49"
"SMNW.OUTBOUND","-33.7746965","151.108991","117","10123.35"
"SMNW.OUTBOUND","-33.7748815","151.1080612","118","10211.88"
"SMNW.OUTBOUND","-33.7754687","151.1062038","119","10395.84"
"SMNW.OUTBOUND","-33.7760551","151.104337","120","10580.59"
"SMNW.OUTBOUND","-33.7772144","151.1006141","121","10948.62"
"SMNW.OUTBOUND","-33.7795666","151.093118","122","11690.34"
"SMNW.OUTBOUND","-33.779899","151.0920366","123","11797.07"
"SMNW.OUTBOUND","-33.7800748","151.0914302","124","11856.53"
"SMNW.OUTBOUND","-33.7801694","151.0908694","125","11909.52"
"SMNW.OUTBOUND","-33.7802085","151.0906309","126","11932.03"
"SMNW.OUTBOUND","-33.7802286","151.0903358","127","11959.45"
"SMNW.OUTBOUND","-33.7802553","151.0900462","128","11986.44"
"SMNW.OUTBOUND","-33.7802538","151.0897603","129","12012.92"
"SMNW.OUTBOUND","-33.7802397","151.0892656","130","12058.77"
"SMNW.OUTBOUND","-33.7801559","151.0885871","131","12122.3"
"SMNW.OUTBOUND","-33.7800066","151.0878919","132","12188.78"
"SMNW.OUTBOUND","-33.7797872","151.0872205","133","12255.56"
"SMNW.OUTBOUND","-33.7794119","151.0864087","134","12341.51"
"SMNW.OUTBOUND","-33.7791562","151.0859504","135","12392.56"
"SMNW.OUTBOUND","-33.7788588","151.0855248","136","12443.96"
"SMNW.OUTBOUND","-33.7785721","151.0851149","137","12493.48"
"SMNW.OUTBOUND","-33.778299","151.0848065","138","12535.12"
"SMNW.OUTBOUND","-33.7781995","151.0847281","139","12548.33"
"SMNW.OUTBOUND","-33.778007","151.0845785","140","12573.79"
"SMNW.OUTBOUND","-33.7778175","151.0844457","141","12598.14"
"SMNW.OUTBOUND","-33.7774357","151.0841984","142","12646.29"
"SMNW.OUTBOUND","-33.7770394","151.0839884","143","12694.35"
"SMNW.OUTBOUND","-33.7766451","151.0837931","144","12741.68"
"SMNW.OUTBOUND","-33.7756814","151.0833627","145","12855.77"
"SMNW.OUTBOUND","-33.7744303","151.0828096","146","13003.69"
"SMNW.OUTBOUND","-33.773747","151.0825013","147","13084.68"
"SMNW.OUTBOUND","-33.772486","151.0818724","148","13236.2"
"SMNW.OUTBOUND","-33.7721993","151.0817393","149","13270.31"
"SMNW.OUTBOUND","-33.771923","151.0815852","150","13304.11"
"SMNW.OUTBOUND","-33.7714822","151.0813989","151","13355.96"
"SMNW.OUTBOUND","-33.7713135","151.0813206","152","13376.03"
"SMNW.OUTBOUND","-33.7710687","151.081211","153","13405.02"
"SMNW.OUTBOUND","-33.7708887","151.0811317","154","13426.29"
"SMNW.OUTBOUND","-33.7706272","151.0810527","155","13456.21"
"SMNW.OUTBOUND","-33.7703565","151.0810078","156","13486.52"
"SMNW.OUTBOUND","-33.7697525","151.0809376","157","13553.83"
"SMNW.OUTBOUND","-33.7695176","151.0809111","158","13580.0"
"SMNW.OUTBOUND","-33.7692071","151.0808192","159","13615.48"
"SMNW.OUTBOUND","-33.7685825","151.0805276","160","13689.84"
"SMNW.OUTBOUND","-33.76829","151.0803467","161","13726.35"
"SMNW.OUTBOUND","-33.7677138","151.0798156","162","13807.01"
"SMNW.OUTBOUND","-33.7674402","151.0795504","163","13846.05"
"SMNW.OUTBOUND","-33.7668794","151.079004","164","13926.25"
"SMNW.OUTBOUND","-33.7663589","151.0784987","165","14000.57"
"SMNW.OUTBOUND","-33.7648722","151.0770416","166","14213.67"
"SMNW.OUTBOUND","-33.7643453","151.0764518","167","14293.68"
"SMNW.OUTBOUND","-33.763897","151.0758416","168","14368.97"
"SMNW.OUTBOUND","-33.7632442","151.0748519","169","14485.79"
"SMNW.OUTBOUND","-33.7627308","151.0740936","170","14576.23"
"SMNW.OUTBOUND","-33.7624612","151.0736423","171","14627.63"
"SMNW.OUTBOUND","-33.7621949","151.0731558","172","14681.51"
"SMNW.OUTBOUND","-33.7620109","151.0728103","173","14719.48"
"SMNW.OUTBOUND","-33.761729","151.0722035","174","14783.8"
"SMNW.OUTBOUND","-33.7611311","151.0709667","175","14916.19"
"SMNW.OUTBOUND","-33.7608907","151.070514","176","14965.89"
"SMNW.OUTBOUND","-33.7604297","151.0696906","177","15057.72"
"SMNW.OUTBOUND","-33.7601129","151.0692067","178","15114.68"
"SMNW.OUTBOUND","-33.759924","151.0689103","179","15149.22"
"SMNW.OUTBOUND","-33.759477","151.0683031","180","15224.21"
"SMNW.OUTBOUND","-33.7587134","151.067384","181","15344.31"
"SMNW.OUTBOUND","-33.7571798","151.0656487","182","15578.36"
"SMNW.OUTBOUND","-33.7569928","151.0654417","183","15606.61"
"SMNW.OUTBOUND","-33.7567878","151.0651526","184","15641.75"
"SMNW.OUTBOUND","-33.7564832","151.0646782","185","15697.18"
"SMNW.OUTBOUND","-33.7555807","151.0633173","186","15858.17"
"SMNW.OUTBOUND","-33.7551107","151.0626285","187","15940.58"
"SMNW.OUTBOUND","-33.7548388","151.0622263","188","15988.52"
"SMNW.OUTBOUND","-33.7545904","151.0618558","189","16032.53"
"SMNW.OUTBOUND","-33.7542936","151.0614111","190","16085.27"
"SMNW.OUTBOUND","-33.7534517","151.0601637","191","16233.85"
"SMNW.OUTBOUND","-33.7526114","151.0589304","192","16381.31"
"SMNW.OUTBOUND","-33.750955","151.0563605","193","16682.06"
"SMNW.OUTBOUND","-33.7497296","151.0543674","194","16911.36"
"SMNW.OUTBOUND","-33.7492947","151.0537532","195","16985.96"
"SMNW.OUTBOUND","-33.7474259","151.0513273","196","17291.72"
"SMNW.OUTBOUND","-33.7466514","151.0503297","197","17417.91"
"SMNW.OUTBOUND","-33.7450511","151.0483183","198","17675.29"
"SMNW.OUTBOUND","-33.7438025","151.0466578","199","17882.3"
"SMNW.OUTBOUND","-33.7428403","151.0453948","200","18040.69"
"SMNW.OUTBOUND","-33.7424021","151.0447034","201","18121.1"
"SMNW.OUTBOUND","-33.7421378","151.0442508","202","18172.27"
"SMNW.OUTBOUND","-33.7418648","151.0435514","203","18243.81"
"SMNW.OUTBOUND","-33.7414215","151.0424355","204","18358.31"
"SMNW.OUTBOUND","-33.741137","151.0416992","205","18433.48"
"SMNW.OUTBOUND","-33.7408809","151.0410377","206","18501.04"
"SMNW.OUTBOUND","-33.740401","151.0398533","207","18623.02"
"SMNW.OUTBOUND","-33.7401135","151.0391445","208","18696.03"
"SMNW.OUTBOUND","-33.739492","151.037493","209","18863.88"
"SMNW.OUTBOUND","-33.7392984","151.0370323","210","18911.66"
"SMNW.OUTBOUND","-33.7391581","151.0366801","211","18947.82"
"SMNW.OUTBOUND","-33.7387963","151.0357627","212","19041.83"
"SMNW.OUTBOUND","-33.738612","151.0352653","213","19092.25"
"SMNW.OUTBOUND","-33.7384373","151.0348157","214","19138.2"
"SMNW.OUTBOUND","-33.7381926","151.0341834","215","19202.77"
"SMNW.OUTBOUND","-33.7380493","151.0339095","216","19232.72"
"SMNW.OUTBOUND","-33.7377723","151.0334951","217","19281.9"
"SMNW.OUTBOUND","-33.7374039","151.0329555","218","19346.48"
"SMNW.OUTBOUND","-33.7368395","151.0320935","219","19447.96"
"SMNW.OUTBOUND","-33.7359633","151.0306793","220","19611.12"
"SMNW.OUTBOUND","-33.7355308","151.030052","221","19686.49"
"SMNW.OUTBOUND","-33.7353166","151.0297884","222","19720.57"
"SMNW.OUTBOUND","-33.7351505","151.0295713","223","19747.85"
"SMNW.OUTBOUND","-33.7349686","151.0293452","224","19776.93"
"SMNW.OUTBOUND","-33.7345518","151.0289025","225","19838.74"
"SMNW.OUTBOUND","-33.73406","151.0283612","226","19912.85"
"SMNW.OUTBOUND","-33.7337399","151.0280026","227","19961.48"
"SMNW.OUTBOUND","-33.7334135","151.0276082","228","20012.93"
"SMNW.OUTBOUND","-33.73301","151.0270832","229","20079.03"
"SMNW.OUTBOUND","-33.7328198","151.0267527","230","20116.23"
"SMNW.OUTBOUND","-33.7326375","151.0264128","231","20153.66"
"SMNW.OUTBOUND","-33.732374","151.0256893","232","20226.8"
"SMNW.OUTBOUND","-33.7322257","151.0252384","233","20271.71"
"SMNW.OUTBOUND","-33.7321138","151.024776","234","20316.32"
"SMNW.OUTBOUND","-33.7318691","151.0235441","235","20433.67"
"SMNW.OUTBOUND","-33.7316844","151.022311","236","20549.76"
"SMNW.OUTBOUND","-33.7311707","151.0191498","237","20848.22"
"SMNW.OUTBOUND","-33.7310888","151.0186417","238","20896.17"
"SMNW.OUTBOUND","-33.7309137","151.0177083","239","20984.83"
"SMNW.OUTBOUND","-33.7306639","151.0163075","240","21117.57"
"SMNW.OUTBOUND","-33.7305189","151.0153624","241","21206.62"
"SMNW.OUTBOUND","-33.7304029","151.0144562","242","21291.59"
"SMNW.OUTBOUND","-33.7303411","151.0136668","243","21365.07"
"SMNW.OUTBOUND","-33.7303694","151.0127127","244","21453.54"
"SMNW.OUTBOUND","-33.7304169","151.0122695","245","21494.95"
"SMNW.OUTBOUND","-33.7304826","151.0120333","246","21518.02"
"SMNW.OUTBOUND","-33.7308229","151.0106091","247","21655.3"
"SMNW.OUTBOUND","-33.7315021","151.0079551","248","21912.54"
"SMNW.OUTBOUND","-33.7318504","151.0065998","249","22043.95"
"SMNW.OUTBOUND","-33.7321558","151.0052797","250","22170.89"
"SMNW.OUTBOUND","-33.7322276","151.0048029","251","22215.79"
"SMNW.OUTBOUND","-33.7322722","151.0043925","252","22254.14"
"SMNW.OUTBOUND","-33.7322851","151.0040516","253","22285.77"
"SMNW.OUTBOUND","-33.7322873","151.0031042","254","22373.57"
"SMNW.OUTBOUND","-33.7322688","151.0027094","255","22410.21"
"SMNW.OUTBOUND","-33.7322127","151.002242","256","22453.97"
"SMNW.OUTBOUND","-33.7320937","151.0016204","257","22513.07"
